Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR301,17638,16411,2025-05-13
JHR357,9069,11286,2025-05-13
JHR361,5177,5104,2025-05-13
JHR371,5771,4997,2025-05-13
JHR374,2606,4116,2025-05-13
JHR378,2954,4176,2025-05-13
JHR387,7937,9111,2025-05-13
JHR345,13949,15043,2025-05-13
JHR7564,1407,1428,2025-05-13
JHR382,4476,4812,2025-05-13
JHR384,5272,5851,2025-05-13
JHR302,15414,14604,2025-05-13
JHR315,8842,7014,2025-05-13
JHR7563,6865,6113,2025-05-13
JHR334,6292,6468,2025-05-13
JHR7422,2411,2395,2025-05-13
JHR360,6641,6179,2025-05-13
JHR379,1,0,2025-05-13
JHR386,25,0,2025-05-13
JHR307,7040,6177,2025-05-13
JHR310,21253,24742,2025-05-13
JHR319,4874,4946,2025-05-13
JHR343,7911,7849,2025-05-13
JHR366,3724,3834,2025-05-13
JHR7598,2440,0,2025-05-13
JHR373,5934,6225,2025-05-13
JHR376,6528,8816,2025-05-13
JHR381,4588,4589,2025-05-13
JHR385,2314,0,2025-05-13
JHR435,3913,5367,2025-05-13
JHR341,5375,5450,2025-05-13
JHR356,8530,8841,2025-05-13
JHR372,2595,2721,2025-05-13
JHR7401,3301,3386,2025-05-13
JHR383,3368,3816,2025-05-13
JHR389,4271,4168,2025-05-13
JHR336,11813,10468,2025-05-13
JHR362,13376,11185,2025-05-13
JHR370,6813,8022,2025-05-13
JHR391,61,3599,2025-05-13
JHR349,7189,7504,2025-05-13
JHR350,5961,5954,2025-05-13
JHR359,13364,12985,2025-05-13
JHR365,7451,7970,2025-05-13
JHR375,3734,3805,2025-05-13
JHR377,6956,5106,2025-05-13
JHR380,2103,2565,2025-05-13
JHR7439,0,1716,2025-05-13
JHR390,441,1502,2025-05-13
JHR429,3743,2982,2025-05-13
JHR354,7457,8793,2025-05-13
JHR7427,943,907,2025-05-13
JHR7429,2746,2705,2025-05-13
JHR358,3328,3569,2025-05-13
JHR7561,1538,1628,2025-05-13
JHR392,3505,4228,2025-05-13
JHR301,12070,10058,2025-05-08
JHR357,12177,10878,2025-05-08
JHR361,4595,3974,2025-05-08
JHR369,4112,2876,2025-05-08
JHR371,3933,3660,2025-05-08
JHR374,6033,3687,2025-05-08
JHR378,6122,4048,2025-05-08
JHR345,14168,13570,2025-05-08
JHR7564,1359,1023,2025-05-08
JHR382,6350,3842,2025-05-08
JHR384,6170,4956,2025-05-08
JHR302,11863,6153,2025-05-08
JHR315,9693,7860,2025-05-08
JHR7563,5876,4779,2025-05-08
JHR334,8309,5240,2025-05-08
JHR7422,2068,1935,2025-05-08
JHR360,10168,7655,2025-05-08
JHR386,11,0,2025-05-08
JHR042,0,2,2025-05-08
JHR307,5744,4790,2025-05-08
JHR310,22347,19525,2025-05-08
JHR319,6036,2426,2025-05-08
JHR343,8269,6118,2025-05-08
JHR366,2862,3022,2025-05-08
JHR373,5723,3660,2025-05-08
JHR376,7375,5884,2025-05-08
JHR381,3571,4044,2025-05-08
JHR385,1860,1392,2025-05-08
JHR435,3938,4183,2025-05-08
JHR341,3871,2137,2025-05-08
JHR356,10379,7787,2025-05-08
JHR372,1967,1356,2025-05-08
JHR7401,2774,2494,2025-05-08
JHR383,3319,3450,2025-05-08
JHR389,3599,3192,2025-05-08
JHR336,12584,11517,2025-05-08
JHR362,12060,10424,2025-05-08
JHR368,8240,4048,2025-05-08
JHR370,6117,6806,2025-05-08
JHR349,5614,4416,2025-05-08
JHR350,7687,7378,2025-05-08
JHR359,12776,9943,2025-05-08
JHR365,7547,6708,2025-05-08
JHR375,4261,4096,2025-05-08
JHR377,5661,3722,2025-05-08
JHR380,3307,2612,2025-05-08
JHR390,1,1100,2025-05-08
JHR429,2544,2561,2025-05-08
JHR354,8969,7645,2025-05-08
JHR7427,571,505,2025-05-08
JHR7429,4298,2657,2025-05-08
JHR358,2720,2977,2025-05-08
JHR7561,1754,1245,2025-05-08
JHR392,1395,2229,2025-05-08
JHR301,14401,13092,2025-05-12
JHR371,3966,4296,2025-05-12
JHR374,4194,3080,2025-05-12
JHR387,5462,8149,2025-05-12
JHR357,8834,5417,2025-05-12
JHR378,4953,4506,2025-05-12
JHR361,5103,5292,2025-05-12
JHR382,6796,4950,2025-05-12
JHR384,5301,4344,2025-05-12
JHR345,14124,13549,2025-05-12
JHR7564,1341,1392,2025-05-12
JHR7563,4629,5264,2025-05-12
JHR334,9140,6572,2025-05-12
JHR360,9211,10668,2025-05-12
JHR7422,2001,2010,2025-05-12
JHR315,6154,7161,2025-05-12
JHR302,10644,13747,2025-05-12
JHR388,4,0,2025-05-12
JHR310,27203,23493,2025-05-12
JHR381,3884,4121,2025-05-12
JHR307,5401,5247,2025-05-12
JHR366,3158,3002,2025-05-12
JHR376,7770,6262,2025-05-12
JHR7598,1453,0,2025-05-12
JHR343,7732,9550,2025-05-12
JHR319,4167,4184,2025-05-12
JHR373,6309,6426,2025-05-12
JHR385,5396,0,2025-05-12
JHR435,5449,4047,2025-05-12
JHR7401,2785,2948,2025-05-12
JHR389,3788,3620,2025-05-12
JHR383,3260,3871,2025-05-12
JHR356,9029,7853,2025-05-12
JHR341,4174,4239,2025-05-12
JHR372,2005,2116,2025-05-12
JHR336,14236,16239,2025-05-12
JHR362,9267,10005,2025-05-12
JHR370,7130,6180,2025-05-12
JHR391,2337,3026,2025-05-12
JHR359,13716,12113,2025-05-12
JHR365,6544,6974,2025-05-12
JHR7439,0,1818,2025-05-12
JHR349,6064,8005,2025-05-12
JHR377,7095,3923,2025-05-12
JHR429,2742,3268,2025-05-12
JHR375,3868,4816,2025-05-12
JHR390,502,1346,2025-05-12
JHR350,5874,6023,2025-05-12
JHR380,3776,2557,2025-05-12
JHR7561,1753,1696,2025-05-12
JHR392,2109,4152,2025-05-12
JHR7427,663,2381,2025-05-12
JHR7429,2997,2867,2025-05-12
JHR358,3177,3173,2025-05-12
JHR354,9106,5813,2025-05-12
JHR374,3978,5043,2025-05-11
JHR378,4622,5264,2025-05-11
JHR357,8840,7847,2025-05-11
JHR387,6376,7842,2025-05-11
JHR371,4836,5755,2025-05-11
JHR361,3268,3865,2025-05-11
JHR301,14235,14273,2025-05-11
JHR384,3685,4569,2025-05-11
JHR345,13498,15631,2025-05-11
JHR7564,1261,1162,2025-05-11
JHR382,2327,3769,2025-05-11
JHR334,3916,4541,2025-05-11
JHR315,7025,8076,2025-05-11
JHR302,11786,10698,2025-05-11
JHR360,6785,6500,2025-05-11
JHR7563,6181,4796,2025-05-11
JHR7422,1161,1895,2025-05-11
JHR343,9583,7070,2025-05-11
JHR307,4863,4811,2025-05-11
JHR381,4118,4576,2025-05-11
JHR310,18721,25824,2025-05-11
JHR373,6558,6744,2025-05-11
JHR376,7371,6919,2025-05-11
JHR435,3974,4429,2025-05-11
JHR319,3855,4764,2025-05-11
JHR366,3363,3653,2025-05-11
JHR385,1394,0,2025-05-11
JHR7598,67,0,2025-05-11
JHR7401,3226,3168,2025-05-11
JHR383,3121,3849,2025-05-11
JHR356,7097,8451,2025-05-11
JHR389,2524,3357,2025-05-11
JHR372,2258,2682,2025-05-11
JHR341,4181,5358,2025-05-11
JHR336,15635,12106,2025-05-11
JHR391,2615,3533,2025-05-11
JHR362,8938,9170,2025-05-11
JHR370,6879,6776,2025-05-11
JHR365,5913,6315,2025-05-11
JHR349,6762,6966,2025-05-11
JHR380,1775,2936,2025-05-11
JHR350,5033,5189,2025-05-11
JHR359,9131,9748,2025-05-11
JHR377,5069,2816,2025-05-11
JHR375,3880,3341,2025-05-11
JHR429,3498,3129,2025-05-11
JHR7439,0,2076,2025-05-11
JHR390,332,420,2025-05-11
JHR392,3136,3760,2025-05-11
JHR7429,2611,3312,2025-05-11
JHR354,6933,7902,2025-05-11
JHR7561,1814,2061,2025-05-11
JHR358,3393,3066,2025-05-11
JHR7427,483,691,2025-05-11
JHR374,3409,3403,2025-05-10
JHR378,6041,7302,2025-05-10
JHR361,3699,5818,2025-05-10
JHR357,9751,9889,2025-05-10
JHR301,11501,11261,2025-05-10
JHR387,6574,13678,2025-05-10
JHR371,6246,5484,2025-05-10
JHR7564,962,1055,2025-05-10
JHR345,18091,15681,2025-05-10
JHR382,4611,5211,2025-05-10
JHR384,3778,3766,2025-05-10
JHR315,7277,6873,2025-05-10
JHR302,19229,15823,2025-05-10
JHR360,10285,7910,2025-05-10
JHR7563,7212,5909,2025-05-10
JHR334,5720,6650,2025-05-10
JHR7422,2704,2175,2025-05-10
JHR386,2,0,2025-05-10
JHR310,28090,25932,2025-05-10
JHR376,7067,7258,2025-05-10
JHR435,3946,3980,2025-05-10
JHR307,5583,6426,2025-05-10
JHR373,7545,7903,2025-05-10
JHR319,6612,6100,2025-05-10
JHR343,4673,7153,2025-05-10
JHR381,4982,4688,2025-05-10
JHR366,1554,2628,2025-05-10
JHR385,1302,678,2025-05-10
JHR7598,546,0,2025-05-10
JHR383,2324,4864,2025-05-10
JHR341,8996,8074,2025-05-10
JHR356,6894,8416,2025-05-10
JHR7401,2355,2459,2025-05-10
JHR389,5219,4446,2025-05-10
JHR372,2894,2471,2025-05-10
JHR362,11121,13302,2025-05-10
JHR391,2955,4077,2025-05-10
JHR368,0,4670,2025-05-10
JHR336,10252,13358,2025-05-10
JHR370,4169,6324,2025-05-10
JHR349,6125,6083,2025-05-10
JHR377,4441,4562,2025-05-10
JHR359,13320,15715,2025-05-10
JHR375,4022,4063,2025-05-10
JHR365,7301,9399,2025-05-10
JHR390,7,1403,2025-05-10
JHR429,3505,3537,2025-05-10
JHR7439,0,1953,2025-05-10
JHR380,3200,2716,2025-05-10
JHR350,5463,5690,2025-05-10
JHR392,1380,2402,2025-05-10
JHR7429,2200,2280,2025-05-10
JHR7427,719,770,2025-05-10
JHR354,6374,7122,2025-05-10
JHR7561,1944,2010,2025-05-10
JHR358,3906,4381,2025-05-10
JHR371,4552,4740,2025-05-09
JHR361,6327,4017,2025-05-09
JHR301,15832,16000,2025-05-09
JHR378,3591,2928,2025-05-09
JHR369,2749,4359,2025-05-09
JHR374,3422,4443,2025-05-09
JHR357,8897,12077,2025-05-09
JHR387,2750,0,2025-05-09
JHR7564,816,1421,2025-05-09
JHR384,4483,5375,2025-05-09
JHR382,3310,4159,2025-05-09
JHR345,14844,14794,2025-05-09
JHR302,7242,8443,2025-05-09
JHR315,6517,8100,2025-05-09
JHR360,2773,5180,2025-05-09
JHR7422,2143,2293,2025-05-09
JHR334,3710,6161,2025-05-09
JHR7563,3936,5197,2025-05-09
JHR310,24343,21454,2025-05-09
JHR376,4760,6433,2025-05-09
JHR373,5951,5990,2025-05-09
JHR435,4643,4106,2025-05-09
JHR381,4391,3942,2025-05-09
JHR319,494,3289,2025-05-09
JHR385,1772,1395,2025-05-09
JHR366,5307,4225,2025-05-09
JHR343,7949,7526,2025-05-09
JHR307,4764,5912,2025-05-09
JHR372,2524,3399,2025-05-09
JHR383,3395,1988,2025-05-09
JHR356,7121,8617,2025-05-09
JHR341,3396,4328,2025-05-09
JHR389,1323,2197,2025-05-09
JHR7401,3409,3708,2025-05-09
JHR368,5397,9584,2025-05-09
JHR336,15410,13825,2025-05-09
JHR370,8928,7775,2025-05-09
JHR362,7360,12155,2025-05-09
JHR391,96,0,2025-05-09
JHR390,0,1149,2025-05-09
JHR429,2171,2246,2025-05-09
JHR359,8425,8723,2025-05-09
JHR377,9475,3898,2025-05-09
JHR349,8705,8502,2025-05-09
JHR365,5333,4244,2025-05-09
JHR375,2507,2528,2025-05-09
JHR350,4596,4670,2025-05-09
JHR380,1949,2273,2025-05-09
JHR358,2735,2718,2025-05-09
JHR392,1007,3972,2025-05-09
JHR7427,1075,1025,2025-05-09
JHR7429,2994,3785,2025-05-09
JHR354,7482,8896,2025-05-09
JHR7561,1274,1517,2025-05-09
JHR301,11080,11608,2025-05-07
JHR357,6424,6689,2025-05-07
JHR361,3940,3382,2025-05-07
JHR369,3718,3590,2025-05-07
JHR371,5132,4538,2025-05-07
JHR374,2188,3139,2025-05-07
JHR378,4151,3995,2025-05-07
JHR345,12127,11599,2025-05-07
JHR7564,1078,1032,2025-05-07
JHR382,3283,3025,2025-05-07
JHR384,3232,4087,2025-05-07
JHR302,7758,7610,2025-05-07
JHR315,5928,5961,2025-05-07
JHR7563,3487,4703,2025-05-07
JHR334,3842,3835,2025-05-07
JHR7422,1352,1191,2025-05-07
JHR360,7446,7005,2025-05-07
JHR386,5,0,2025-05-07
JHR307,5059,4723,2025-05-07
JHR310,18825,20630,2025-05-07
JHR319,5137,4849,2025-05-07
JHR343,6358,7064,2025-05-07
JHR366,3090,2528,2025-05-07
JHR373,5023,3643,2025-05-07
JHR376,8088,7517,2025-05-07
JHR381,4664,3895,2025-05-07
JHR385,1420,1577,2025-05-07
JHR435,3595,3468,2025-05-07
JHR341,5877,4484,2025-05-07
JHR356,5358,6317,2025-05-07
JHR372,3008,2697,2025-05-07
JHR7401,1625,2203,2025-05-07
JHR383,2455,1347,2025-05-07
JHR389,2945,2989,2025-05-07
JHR336,12807,11117,2025-05-07
JHR362,10869,10698,2025-05-07
JHR368,7005,5659,2025-05-07
JHR370,6159,5653,2025-05-07
JHR349,7054,6157,2025-05-07
JHR350,3567,2481,2025-05-07
JHR359,9790,9339,2025-05-07
JHR365,5028,6426,2025-05-07
JHR375,3030,2536,2025-05-07
JHR377,5596,4827,2025-05-07
JHR380,3008,2729,2025-05-07
JHR390,0,1211,2025-05-07
JHR429,2720,1369,2025-05-07
JHR354,5867,5926,2025-05-07
JHR7427,471,436,2025-05-07
JHR7429,2840,2713,2025-05-07
JHR358,2748,1457,2025-05-07
JHR7561,1029,1410,2025-05-07
JHR392,203,2636,2025-05-07
JHR301,13313,11491,2025-05-06
JHR7549,5,0,2025-05-06
JHR357,8725,7180,2025-05-06
JHR361,3274,3247,2025-05-06
JHR369,2658,2266,2025-05-06
JHR371,4356,4110,2025-05-06
JHR374,3978,2363,2025-05-06
JHR378,3517,3414,2025-05-06
JHR7551,0,1,2025-05-06
JHR345,13493,12405,2025-05-06
JHR7564,1276,1001,2025-05-06
JHR382,3260,2920,2025-05-06
JHR384,5158,3998,2025-05-06
JHR302,11704,7810,2025-05-06
JHR315,7553,6484,2025-05-06
JHR7563,5676,3438,2025-05-06
JHR334,5044,4316,2025-05-06
JHR7422,1671,1402,2025-05-06
JHR360,7203,7786,2025-05-06
JHR379,1,0,2025-05-06
JHR386,2,0,2025-05-06
JHR388,9,0,2025-05-06
JHR307,5721,3966,2025-05-06
JHR310,26396,21109,2025-05-06
JHR319,2953,2620,2025-05-06
JHR343,7373,5530,2025-05-06
JHR366,2870,2629,2025-05-06
JHR7598,2,0,2025-05-06
JHR373,4717,3588,2025-05-06
JHR376,6123,5809,2025-05-06
JHR381,4028,3790,2025-05-06
JHR385,1559,918,2025-05-06
JHR435,4201,3650,2025-05-06
JHR341,3104,2842,2025-05-06
JHR356,8057,5833,2025-05-06
JHR372,1525,1122,2025-05-06
JHR7401,2826,1938,2025-05-06
JHR383,2210,2004,2025-05-06
JHR389,3754,2994,2025-05-06
JHR336,11952,10774,2025-05-06
JHR362,11694,8259,2025-05-06
JHR368,7379,5913,2025-05-06
JHR370,5381,5255,2025-05-06
JHR349,5297,4484,2025-05-06
JHR350,3159,3058,2025-05-06
JHR359,11886,9124,2025-05-06
JHR365,7746,5285,2025-05-06
JHR375,3127,3425,2025-05-06
JHR377,8164,5084,2025-05-06
JHR380,2224,2288,2025-05-06
JHR390,1,1640,2025-05-06
JHR429,2355,1963,2025-05-06
JHR354,9355,6890,2025-05-06
JHR7427,569,460,2025-05-06
JHR7429,2032,1649,2025-05-06
JHR358,2810,1983,2025-05-06
JHR7561,1997,1189,2025-05-06
JHR392,0,1569,2025-05-06
JHR301,10654,10702,2025-05-05
JHR357,7671,6428,2025-05-05
JHR361,4242,4526,2025-05-05
JHR369,1877,3450,2025-05-05
JHR371,3927,4932,2025-05-05
JHR374,2419,3585,2025-05-05
JHR378,2564,4641,2025-05-05
JHR345,12430,14067,2025-05-05
JHR7564,1078,1129,2025-05-05
JHR382,3627,3817,2025-05-05
JHR384,3666,4045,2025-05-05
JHR302,7971,11104,2025-05-05
JHR315,4722,6496,2025-05-05
JHR7563,4214,5712,2025-05-05
JHR334,3009,5442,2025-05-05
JHR7422,1464,1644,2025-05-05
JHR360,4567,6402,2025-05-05
JHR386,13,0,2025-05-05
JHR307,3121,5382,2025-05-05
JHR310,17702,20262,2025-05-05
JHR319,3729,3927,2025-05-05
JHR343,4774,6971,2025-05-05
JHR366,3043,3054,2025-05-05
JHR7598,249,0,2025-05-05
JHR373,4735,5588,2025-05-05
JHR376,3567,5037,2025-05-05
JHR381,3795,4348,2025-05-05
JHR385,1326,2025,2025-05-05
JHR435,2474,4057,2025-05-05
JHR341,4149,4418,2025-05-05
JHR356,5431,6981,2025-05-05
JHR372,1383,2360,2025-05-05
JHR7401,2354,2549,2025-05-05
JHR383,1823,2666,2025-05-05
JHR389,2853,3574,2025-05-05
JHR336,9754,10723,2025-05-05
JHR362,7838,11644,2025-05-05
JHR368,4273,7301,2025-05-05
JHR370,5814,6933,2025-05-05
JHR349,5745,6246,2025-05-05
JHR350,5354,5504,2025-05-05
JHR359,5956,9759,2025-05-05
JHR365,3453,5889,2025-05-05
JHR375,3202,3577,2025-05-05
JHR377,5413,4541,2025-05-05
JHR380,2772,2069,2025-05-05
JHR390,32,2155,2025-05-05
JHR429,1723,2836,2025-05-05
JHR354,4107,6154,2025-05-05
JHR7427,621,665,2025-05-05
JHR7429,2727,2905,2025-05-05
JHR358,1728,2875,2025-05-05
JHR7561,1229,1697,2025-05-05
JHR392,0,2657,2025-05-05
JHR301,8967,9237,2025-05-04
JHR357,8978,7457,2025-05-04
JHR361,2630,3540,2025-05-04
JHR369,2815,2883,2025-05-04
JHR371,4156,4564,2025-05-04
JHR374,3027,2893,2025-05-04
JHR378,4776,3523,2025-05-04
JHR345,12488,10760,2025-05-04
JHR7564,939,998,2025-05-04
JHR382,3181,3268,2025-05-04
JHR384,3637,3636,2025-05-04
JHR302,10753,8705,2025-05-04
JHR315,5049,5015,2025-05-04
JHR7563,5387,4385,2025-05-04
JHR334,5447,4223,2025-05-04
JHR7422,1371,1554,2025-05-04
JHR360,7708,5890,2025-05-04
JHR386,5,0,2025-05-04
JHR307,5642,4008,2025-05-04
JHR310,17875,16653,2025-05-04
JHR319,3229,3177,2025-05-04
JHR343,6962,5358,2025-05-04
JHR366,2389,2460,2025-05-04
JHR7598,1240,0,2025-05-04
JHR373,4663,4109,2025-05-04
JHR376,6243,5212,2025-05-04
JHR381,4015,3484,2025-05-04
JHR385,1323,1017,2025-05-04
JHR435,4589,3242,2025-05-04
JHR341,3504,3467,2025-05-04
JHR356,6406,5824,2025-05-04
JHR372,2307,1613,2025-05-04
JHR7401,2032,2084,2025-05-04
JHR383,2771,2368,2025-05-04
JHR389,3297,2660,2025-05-04
JHR336,9708,9049,2025-05-04
JHR362,11353,9200,2025-05-04
JHR368,6580,6607,2025-05-04
JHR370,4992,4948,2025-05-04
JHR349,4888,4799,2025-05-04
JHR350,3933,3925,2025-05-04
JHR359,9415,8802,2025-05-04
JHR365,5716,5531,2025-05-04
JHR375,3367,2928,2025-05-04
JHR377,3009,3989,2025-05-04
JHR380,1995,2407,2025-05-04
JHR429,2555,2055,2025-05-04
JHR354,7289,5841,2025-05-04
JHR7427,466,514,2025-05-04
JHR7429,2282,2303,2025-05-04
JHR358,3164,2375,2025-05-04
JHR7561,1813,1409,2025-05-04
JHR392,0,2092,2025-05-04
JHR301,9046,10335,2025-05-03
JHR357,7490,7786,2025-05-03
JHR371,3007,3738,2025-05-03
JHR374,3296,3032,2025-05-03
JHR361,3827,3327,2025-05-03
JHR369,2413,2702,2025-05-03
JHR378,3576,3794,2025-05-03
JHR345,11059,11546,2025-05-03
JHR7564,802,833,2025-05-03
JHR382,2847,3107,2025-05-03
JHR384,2685,3639,2025-05-03
JHR302,6012,7103,2025-05-03
JHR315,5937,5942,2025-05-03
JHR7563,3562,4457,2025-05-03
JHR7422,1174,1303,2025-05-03
JHR334,4287,4236,2025-05-03
JHR360,5420,5892,2025-05-03
JHR379,1,0,2025-05-03
JHR386,9,0,2025-05-03
JHR042,0,13,2025-05-03
JHR319,3232,3418,2025-05-03
JHR307,4497,4259,2025-05-03
JHR310,16575,17318,2025-05-03
JHR366,2115,2289,2025-05-03
JHR373,3685,3999,2025-05-03
JHR376,5379,5509,2025-05-03
JHR343,5121,5473,2025-05-03
JHR381,3128,3316,2025-05-03
JHR385,1203,1279,2025-05-03
JHR435,2541,3429,2025-05-03
JHR7401,2113,2188,2025-05-03
JHR341,2150,3278,2025-05-03
JHR356,5082,5624,2025-05-03
JHR372,1834,1833,2025-05-03
JHR383,1863,2159,2025-05-03
JHR389,2329,2906,2025-05-03
JHR336,8304,9239,2025-05-03
JHR362,8404,9283,2025-05-03
JHR368,5871,4550,2025-05-03
JHR370,3995,4873,2025-05-03
JHR349,3635,5067,2025-05-03
JHR350,3683,3928,2025-05-03
JHR359,8551,7614,2025-05-03
JHR365,5351,5203,2025-05-03
JHR375,3002,3098,2025-05-03
JHR377,4430,4455,2025-05-03
JHR380,2035,1775,2025-05-03
JHR429,2642,2287,2025-05-03
JHR7561,1235,1251,2025-05-03
JHR7427,537,507,2025-05-03
JHR7429,2102,2650,2025-05-03
JHR354,4757,5786,2025-05-03
JHR358,1935,2486,2025-05-03
JHR392,0,2254,2025-05-03
JHR301,15231,13649,2025-05-02
JHR357,5570,8731,2025-05-02
JHR361,3552,4493,2025-05-02
JHR369,2372,3510,2025-05-02
JHR371,3370,4999,2025-05-02
JHR374,2487,3240,2025-05-02
JHR378,2856,4042,2025-05-02
JHR345,14388,14825,2025-05-02
JHR7564,1082,1138,2025-05-02
JHR382,3663,3672,2025-05-02
JHR384,3659,4190,2025-05-02
JHR302,10023,10630,2025-05-02
JHR315,7552,6440,2025-05-02
JHR7563,3876,5369,2025-05-02
JHR334,3992,4753,2025-05-02
JHR7422,1610,1826,2025-05-02
JHR360,7648,7501,2025-05-02
JHR379,1,0,2025-05-02
JHR386,5,0,2025-05-02
JHR388,2,0,2025-05-02
JHR307,3080,5064,2025-05-02
JHR310,18547,20173,2025-05-02
JHR319,3776,3832,2025-05-02
JHR343,4997,6908,2025-05-02
JHR366,2551,3006,2025-05-02
JHR373,5111,5172,2025-05-02
JHR376,6778,5788,2025-05-02
JHR381,4002,4116,2025-05-02
JHR385,1871,1846,2025-05-02
JHR435,4127,4251,2025-05-02
JHR341,5012,4591,2025-05-02
JHR356,6006,6518,2025-05-02
JHR372,2327,2435,2025-05-02
JHR7401,2049,2144,2025-05-02
JHR383,2757,2631,2025-05-02
JHR389,3622,4417,2025-05-02
JHR336,8250,11485,2025-05-02
JHR362,8191,12213,2025-05-02
JHR368,7693,7899,2025-05-02
JHR370,4353,6427,2025-05-02
JHR349,6482,6448,2025-05-02
JHR350,4787,4836,2025-05-02
JHR359,8619,10830,2025-05-02
JHR365,4812,6266,2025-05-02
JHR375,3007,3541,2025-05-02
JHR377,6850,6504,2025-05-02
JHR380,2507,2774,2025-05-02
JHR390,1,0,2025-05-02
JHR429,2487,2567,2025-05-02
JHR354,7421,7171,2025-05-02
JHR7427,494,615,2025-05-02
JHR7429,2960,2603,2025-05-02
JHR358,2814,2866,2025-05-02
JHR7561,1457,1519,2025-05-02
JHR392,0,2943,2025-05-02
JHR301,7136,7987,2025-05-01
JHR357,8711,7405,2025-05-01
JHR361,4281,3818,2025-05-01
JHR369,3868,2767,2025-05-01
JHR371,5319,3598,2025-05-01
JHR374,4122,3307,2025-05-01
JHR378,4780,4196,2025-05-01
JHR345,10590,10789,2025-05-01
JHR7564,622,1005,2025-05-01
JHR382,2152,3226,2025-05-01
JHR384,3470,3600,2025-05-01
JHR302,9101,7583,2025-05-01
JHR315,4100,5831,2025-05-01
JHR7563,5676,3962,2025-05-01
JHR334,4271,4416,2025-05-01
JHR7422,1239,1420,2025-05-01
JHR360,5197,4727,2025-05-01
JHR379,1,0,2025-05-01
JHR386,6,0,2025-05-01
JHR307,5172,4746,2025-05-01
JHR310,16727,15841,2025-05-01
JHR319,3401,3445,2025-05-01
JHR343,5897,4760,2025-05-01
JHR366,3220,2879,2025-05-01
JHR373,5008,5317,2025-05-01
JHR376,4914,5836,2025-05-01
JHR381,3592,3982,2025-05-01
JHR385,1085,1485,2025-05-01
JHR435,3353,3651,2025-05-01
JHR341,4047,3647,2025-05-01
JHR356,5293,5708,2025-05-01
JHR372,1750,1772,2025-05-01
JHR7401,1984,2457,2025-05-01
JHR383,2050,2320,2025-05-01
JHR389,2089,2825,2025-05-01
JHR336,12779,8770,2025-05-01
JHR362,9414,8610,2025-05-01
JHR368,4656,5361,2025-05-01
JHR370,5717,4395,2025-05-01
JHR349,5626,4814,2025-05-01
JHR350,3951,4012,2025-05-01
JHR359,8908,7556,2025-05-01
JHR365,5946,5696,2025-05-01
JHR375,3307,3065,2025-05-01
JHR377,4659,4970,2025-05-01
JHR380,2214,2144,2025-05-01
JHR429,2218,2437,2025-05-01
JHR354,4993,6047,2025-05-01
JHR7427,445,557,2025-05-01
JHR7429,2361,2601,2025-05-01
JHR358,1811,2339,2025-05-01
JHR7561,1246,1570,2025-05-01
